Dia	Mes	Ano	RES65	PM10	so2	co	o3	no2
22	3	1997	9	48.166	24.232	2.1129	76.265	81.494
23	3	1997	8	56.917	19.516	2.1543	142.313	96.248
24	3	1997	9	77.742	30.918	3.6543	152.877	197.16
25	3	1997	6	51.94	23.89	2.1371	68.632	81.957
26	3	1997	5	45.997	20.8175	2.2683	54.645	78.788
27	3	1997	11	48.741	20.708	1.9171	71	82.485
28	3	1997	7	39.83	12.3217	1.6057	64.71	46.018
29	3	1997	4	39.619	12.5633	1.1414	59.508	54.98
30	3	1997	8	48.09	17.6483	1.7071	56.723	70.512
31	3	1997	8	52.972	24.9483	3.115	39.005	115.22
1	4	1997	12	54.86	31.106	4.3243	26.508	90.482
2	4	1997	7	52.235	29.696	4.48	41.483	97.822
3	4	1997	5	46.97	31.378	4.3686	40.287	97.337
4	4	1997	8	53.791	32.3083	4.5029	41.7	99.312
5	4	1997	10	48.84	18.4983	2.91	53.627	74.557
6	4	1997	8	45.581	15.545	1.6986	46.698	57.778
7	4	1997	6	44.422	19.4317	2.2283	50.697	94.262
8	4	1997	9	38.735	17.785	2.2871	34.88	79.665
9	4	1997	7	38.478	16.702	2.1829	49.038	82.16
10	4	1997	9	52.687	26.62	2.4857	78.542	111.645
11	4	1997	9	81.087	35.95	4.0671	84.265	179.79
12	4	1997	15	83.678	32.1517	5.1757	68.23	117.707
13	4	1997	6	65.324	22.2217	2.5729	115.642	108.835
14	4	1997	5	87.096	39.69	4.0186	123.844	223.333
15	4	1997	12	83.186	47.1	3.2657	118.094	150.702
16	4	1997	10	92.515	39.8967	3.4371	105.816	167.842
17	4	1997	12	64.572	30.915	4.9329	37.68	109.698
18	4	1997	10	55.98	35.3817	4.6571	34.137	108.538
19	4	1997	12	50.361	30.7333	4.0743	47.117	104.892
20	4	1997	13	34.508	16.0083	4.0457	29.482	55.325
21	4	1997	15	25.518	8.3783	2.4914	56.648	57.47
22	4	1997	13	43.587	23.47	2.5914	67.25	111.522
23	4	1997	8	43.611	23.2567	2.7029	51.313	96.774
24	4	1997	11	66.258	35.31	3.3229	63.518	164.328
25	4	1997	13	86.661	56.9375	5.424	57.148	127.406
26	4	1997	5	54.765	19.21	3.5767	99.184	98.228
27	4	1997	11	56.449	21.482	1.76	101.398	88.054
28	4	1997	11	59.217	38.272	4.3857	56.352	112.895
29	4	1997	15	80.285	31.99	4.3286	47.723	137.22
30	4	1997	11	94.72	38.894	4.4614	60.547	192.033
1	5	1997	7	77.622	35.068	4.0286	93.168	123.455
2	5	1997	10	99.1	37.952	4.3114	75.078	171.57
3	5	1997	10	94.352	34.48	3.92	187.628	207.488
4	5	1997	11	47.819	13.238	1.7433	46.495	57.428
5	5	1997	16	49.204	18.076	2.7117	69.562	105.893
6	5	1997	10	67.932	26.076	2.8067	100.464	125.838
7	5	1997	8	75.645	29.384	2.9	79.682	123.89
8	5	1997	6	82.638	29.54	3.0843	115.254	141.288
9	5	1997	12	86.515	32.762	3.4214	143.126	184.342
10	5	1997	14	66.237	20.39	2.2686	117.814	103.685
11	5	1997	16	61.252	16.794	1.9386	98.692	80.573
12	5	1997	9	83.833	32.278	4.3729	56.65	169.797
13	5	1997	15	86.794	29.894	4.5257	51.258	95.358
14	5	1997	11	52.832	18.066	2.1371	39.277	79.578
15	5	1997	7	58.889	24.29	2.56	35.518	91.068
16	5	1997	13	75.808	34.626	3.14	56.316	120.59
17	5	1997	4	72.283	25.942	2.82	70.85	100.143
18	5	1997	8	68.508	21.968	2.555	68.845	86.822
19	5	1997	11	89.022	36.338	5.625	65.973	142.265
20	5	1997	11	97.534	41.868	5.6671	49.898	173.61
21	5	1997	11	83.655	35.846	4.99	54.722	128.422
22	5	1997	10	57.398	20.518	4.7571	28.04	85.513
23	5	1997	16	46.015	21.068	3.0914	36.57	75.623
24	5	1997	11	40.832	12.632	2.5657	23.015	69.65
25	5	1997	12	27.584	9.768	2.1643	28.878	63.648
26	5	1997	9	57.061	30.838	3.1643	41.977	126.513
27	5	1997	14	62.071	28.804	4.08	56.162	123.163
28	5	1997	15	56.925	27.908	4.63	17.455	93.358
29	5	1997	12	26.068	13.36	3.5357	34.382	50.398
30	5	1997	10	30.139	14.378	2.2417	32.763	76.015
31	5	1997	20	40.348	15.904	1.7414	35.615	65.315
1	6	1997	10	36.697	19.052	1.8214	39.738	63.245
2	6	1997	15	55.647	28.82	2.9333	54.013	108.94
3	6	1997	21	94.481	43.675	4.7367	32.715	263.738
4	6	1997	14	76.791	38.135	4.5633	29.5	99.026
5	6	1997	17	50.119	29.66	5.3017	11.672	116.136
6	6	1997	14	49.438	28.8075	3.8733	19.89	83.924
7	6	1997	23	40.001	19.4825	3.4433	35.962	73.198
8	6	1997	21	39.089	12.85	2.6183	40.483	65.806
9	6	1997	20	70.492	37.4125	3.2767	103.912	165.1
10	6	1997	20	93.601	43.7375	5.0533	79.698	197.754
11	6	1997	24	100.32	51.71	5.9029	42.73	198.013
12	6	1997	25	62.301	33.6725	5.9	30.14	98.64
13	6	1997	27	98.207	40.542	6.9129	44.012	233.888
14	6	1997	19	51.818	19.676	5.5929	11.765	70.735
15	6	1997	21	26.649	10.124	2.7971	20.408	50.135
16	6	1997	19	39.219	21.742	3.4129	27.487	84.95
17	6	1997	15	66.67	39.194	5.2214	17.257	95.665
18	6	1997	24	78.975	34.892	4.6557	58.703	122.525
19	6	1997	26	73.343	34.072	4.4943	37.255	159.142
20	6	1997	15	61.89	29.61	6.6883	16.25	105.24
21	6	1997	18	61.948	30.162	5.8957	28.343	82.792
22	6	1997	23	52.478	25.422	4.9257	33.602	73.21
23	6	1997	21	66.561	31.17	4.42	41.345	140.36
24	6	1997	26	68.869	33.78	5.4386	41.792	109.957
25	6	1997	24	104.533	45.906	6.3129	51.093	165.477
26	6	1997	20	84.055	35.272	5.8886	52.035	129.22
27	6	1997	17	68.881	35.0775	4.4086	30.202	117.908
28	6	1997	12	48.419	16.012	3.4443	18.512	103.207
29	6	1997	23	37.816	10.946	3.4729	24.912	91.468
30	6	1997	21	36.307	16.766	2.5657	26.217	97.215
1	7	1997	12	48.633	14.24	2.9986	22.218	80.288
2	7	1997	13	73.087	24.305	5.2543	38.105	128.737
3	7	1997	22	76.176	22.935	6.2714	37.652	102.668
4	7	1997	17	77.469	25.6183	6.0443	31.892	103.89
5	7	1997	20	49.072	13.654	3.0833	35.874	68.956
6	7	1997	23	60.571	14.262	5.5086	57	93.508
7	7	1997	29	88.018	18.8117	5.8171	67.002	203.18
8	7	1997	10	75.884	17.44	2.7114	71.668	127.882
9	7	1997	11	90.038	17.1317	5.0829	75.18	124.96
10	7	1997	12	123.753	30.4267	7.1714	55.273	197.505
11	7	1997	13	102.706	16.798	7.6229	53.582	169.213
12	7	1997	14	69.534	9.04	2.6757	50.825	114.825
13	7	1997	12	64.483	9.342	4.78	61.735	112.817
14	7	1997	21	105.808	27.814	6.7771	46.423	158.795
15	7	1997	15	147.408	37.2567	7.7257	55.678	256.608
16	7	1997	10	141.655	29.21	8.4071	39.57	154.898
17	7	1997	18	129.638	26.665	7.5186	32.143	268.765
18	7	1997	10	66.744	13.705	3.1729	33.947	97.188
19	7	1997	12	74.961	15.515	5.57	50.4	104.833
20	7	1997	10	97.178	17.125	7.5229	39.147	103.375
21	7	1997	13	59.059	13.44	3.7686	14.33	87.123
22	7	1997	12	57.236	18.495	3.51	39.908	110.227
23	7	1997	12	56.497	15.4467	3.05	40.873	83.377
24	7	1997	13	46.959	14.8167	2.1271	34.317	76.888
25	7	1997	11	51.331	16.29	2.2857	61.033	89.534
26	7	1997	12	53.974	11.055	1.9814	96.51	103.272
27	7	1997	12	82.355	15.4683	4.5957	95.445	175.628
28	7	1997	17	132.24	34.9633	7.78	75.692	218.022
29	7	1997	13	145.888	31.7367	8.3971	65.947	241.665
30	7	1997	14	121.795	28.7183	7.9186	46.703	261.512
31	7	1997	11	103.952	27.2633	6.7429	56.825	162.868
1	8	1997	14	147.259	31.5467	8.0329	62.283	244.417
2	8	1997	14	148.15	25.4667	9.4543	85.143	240.343
3	8	1997	13	106.487	18.8667	3.6814	44.676	125.113
4	8	1997	13	59.158	17.5067	3.6333	26.1	114.758
5	8	1997	8	26.879	6.3267	2.0343	20.1	70.467
6	8	1997	9	49.602	12.9017	2.3757	48.688	114.278
7	8	1997	10	72.233	19.8567	5.2057	46.986	138.953
8	8	1997	11	30.158	4.884	4.4971	24.7	70.853
9	8	1997	10	26.222	3.346	1.6071	31.588	63.092
10	8	1997	12	32.48	8.274	1.67	37.992	61.348
11	8	1997	12	55.688	16.038	3.43	78.6	192.358
12	8	1997	15	91.812	20.834	4.6043	83.182	239.195
13	8	1997	18	86.09	16.6	4.0529	110.302	174.798
14	8	1997	13	84.432	20.652	3.785	91.383	179.497
15	8	1997	18	111.227	29.85	8.1867	72.166	212.593
16	8	1997	9	121.726	32.836	10.1414	73.994	170.458
17	8	1997	16	123.306	28.0075	11.4429	74.453	181.198
18	8	1997	7	99.497	24.135	6.8429	56.038	155.752
19	8	1997	8	97.834	22.6425	6.9486	61.26	167.905
20	8	1997	16	102.022	16.425	7.1114	52.225	152.728
21	8	1997	10	95.109	11.33	3.9829	31.052	155.172
22	8	1997	13	92.098	16.456	3.8857	94.108	191.698
23	8	1997	13	52.441	7.104	3.8117	27.792	108.383
24	8	1997	13	29.449	5.382	3.7467	23.68	71.907
25	8	1997	16	40.437	12.248	2.0786	43.222	95.76
26	8	1997	12	52.875	13.856	2.4786	69.293	131.63
27	8	1997	7	77.113	21.498	3.68	102.342	167.585
28	8	1997	14	95.22	31.822	4.4586	81.238	164.228
29	8	1997	9	107.661	30.5083	4.4414	126.477	219.08
30	8	1997	9	110.963	21.465	4.0586	143.262	215.895
31	8	1997	10	90.646	14.6983	4.8214	112.105	159.34
1	9	1997	10	108.549	25.395	5.3486	86.703	383.575
2	9	1997	13	120.765	35.97	6.82	86.957	399.56
3	9	1997	14	132.792	39.9367	5.6371	79.442	252.735
4	9	1997	14	152.976	28.395	7.1871	73.697	300.632
5	9	1997	14	97.191	18.844	4.9233	47.175	191.612
6	9	1997	13	45.955	9.376	3.8514	45.505	90.858
7	9	1997	17	59.144	8.1	2.6886	71.523	110.707
8	9	1997	8	103.65	26.36	8.3429	74.543	191.117
9	9	1997	13	150.489	30.812	9.5586	85.958	188.527
10	9	1997	10	50.485	7.3575	5.9014	35.563	118.914
11	9	1997	9	34.41	10.33	1.7943	24.078	72.39
12	9	1997	14	70.961	18.494	4.1833	60.018	133.568
13	9	1997	13	113.717	15.4683	4.3357	60.667	125.287
14	9	1997	11	49.659	6.39	3.7429	63.622	80.158
15	9	1997	10	31.075	6.436	2.5343	19.893	84.325
16	9	1997	8	49.359	14.002	1.8157	37.497	74.68
17	9	1997	15	57.112	18.772	2.97	123.975	180.442
18	9	1997	10	50.922	13.112	2.4967	37.078	77.163
19	9	1997	10	58.824	13.306	2.4567	78.942	120.113
20	9	1997	17	49.925	6.02	2.7367	36.168	137.544
21	9	1997	9	26.588	4.234	2.824	39.94	78.437
22	9	1997	10	31.229	4.078	2.556	35.603	74.465
23	9	1997	9	51.678	12.9433	2.866	39.02	104.32
24	9	1997	13	65.747	16.068	4.2	78.778	148.682
25	9	1997	9	63.89	11.965	3.99	59.982	144.078
26	9	1997	8	30.816	8.8033	2.66	18.468	75.146
27	9	1997	13	31.636	8.5733	2.4217	28.925	62.04
28	9	1997	11	43.714	9.7667	2.9633	64.836	99.775
29	9	1997	18	50.599	10.452	3.6467	42.1	189.3
30	9	1997	17	42.955	10.852	2.8333	44.7	114.677
1	10	1997	13	50.017	7.124	4.894	30.79	137.082
2	10	1997	10	38.517	10.64	3.685	41.345	91.3
3	10	1997	5	31.633	13.268	1.9786	28.712	69.593
4	10	1997	10	53.426	11.784	2.6257	88.865	111.988
5	10	1997	15	60.812	11.792	3.0029	65.042	99.533
6	10	1997	11	47.041	7.2475	3.44	34.524	88.19
7	10	1997	9	33.326	9.678	2.0686	25.925	64.242
8	10	1997	12	36.52	12.796	2.6257	21.357	69.013
9	10	1997	7	64.078	15.69	3.8643	98.165	138.105
10	10	1997	10	91.945	23.266	5.4971	114.323	199.203
11	10	1997	16	63.475	10.368	4.7829	64.922	113.353
12	10	1997	9	73.376	10.462	2.7786	138.977	94.92
13	10	1997	11	74.875	12.11	3.2214	146.143	202.022
14	10	1997	10	60.325	9.854	2.4114	93.43	111.342
15	10	1997	17	74.832	14.832	3.7914	70.105	152.23
16	10	1997	9	51.412	9.7	3.5243	18.598	93.893
17	10	1997	13	39.619	8.514	2.0986	28.482	59.603
18	10	1997	5	33.381	9.518	1.6657	31.996	51.217
19	10	1997	13	39.523	7.25	1.4371	71.61	57.307
20	10	1997	2	35.556	5.9125	2.8871	26.16	66.313
21	10	1997	9	48.199	12.08	5.2043	13.805	95.498
22	10	1997	8	40.562	6.9625	5.2657	21.765	64.8
23	10	1997	9	34.541	5.495	2.0857	39.247	69.928
24	10	1997	12	53.411	13.355	3.8814	56.415	122.685
25	10	1997	12	73.364	16.574	3.9043	73.345	125.353
26	10	1997	5	43.218	5.8725	2.5129	53.282	75.077
27	10	1997	14	53.001	8.465	2.2086	66.826	101.19
28	10	1997	7	69.322	15.222	4.6686	77.314	175.943
29	10	1997	13	81.587	19.6	5.0629	72.323	163.917
30	10	1997	15	51.601	6.7867	2.5729	57.043	105.775
31	10	1997	11	61.688	7.6425	3.1586	85.555	136.287
1	11	1997	11	63.134	7.31	3.5986	64.093	99.568
2	11	1997	3	42.499	5.754	3.2343	62.247	89.945
3	11	1997	9	51.655	8.82	3.8443	90.183	134.368
4	11	1997	12	37.531	10.9	2.07	26.543	65.298
5	11	1997	10	47.737	10.016	2.2971	37.788	68.137
6	11	1997	9	67.961	12.302	3.8643	58.167	156.458
7	11	1997	15	63.308	9.424	3.8257	69.453	143.658
8	11	1997	10	43.653	6.542	2.815	96.83	77.992
9	11	1997	13	50.565	10.506	2.155	104.495	78.028
10	11	1997	12	99.133	20.82	3.435	130.215	167.342
11	11	1997	8	98.228	20.328	5.2917	108.818	224.103
12	11	1997	12	72.944	12.114	5.3357	81.462	146.037
13	11	1997	13	79.685	14.035	4.17	70.613	117.792
14	11	1997	13	48.871	10.5667	4.0683	48.832	88.13
15	11	1997	11	26.877	7.1533	1.8517	28.943	58.676
16	11	1997	7	37.922	5.7367	2.3433	71.332	83.636
17	11	1997	8	50.927	7.3667	4.3083	63.782	183.09
18	11	1997	9	37.668	6.47	4.4867	25.778	95.068
19	11	1997	8	32.051	9.97	2.4783	27.848	66.38
20	11	1997	8	43.319	12.765	2.605	54.376	85.475
21	11	1997	9	54.37	14.035	3.9471	48.268	111.02
22	11	1997	7	47.938	8.295	3.5571	68.817	88.157
23	11	1997	10	46.672	5.8525	2.7686	60.195	77.74
24	11	1997	7	40.365	9.915	3.8114	56.587	102.698
25	11	1997	16	38.898	8.45	2.32	38.115	72.878
26	11	1997	12	42.872	8.5575	2.8729	29.688	67.478
27	11	1997	16	45.472	12.395	3.6771	31.098	75.42
28	11	1997	14	37.075	9.71	3.3367	32.322	80.65
29	11	1997	10	43.873	11.205	2.1383	46.947	54.356
30	11	1997	10	39.691	8.5	1.6017	69.562	57.72
1	12	1997	8	52.262	10.7	4.2567	36.702	93.342
2	12	1997	10	40.948	6.925	4.205	22.5	71.336
3	12	1997	11	53.832	15.7875	3.74	50.4	91.714
4	12	1997	6	61.694	10.5875	4.6043	31.474	112.36
5	12	1997	5	65.241	18.4975	3.9471	179.746	202.098
6	12	1997	5	64.922	16.5625	3.2186	69.088	87.69
7	12	1997	8	46.218	9.7875	2.3843	45.725	79.782
8	12	1997	7	48.568	10.245	3.0114	48.202	81.822
9	12	1997	8	58.278	13.52	2.7043	134.107	141.91
10	12	1997	9	51.662	16.04	2.3886	81.61	116.327
11	12	1997	11	59.873	14.8925	2.32	86.06	108.252
12	12	1997	13	67.465	14.3825	3.2071	65.002	129.45
13	12	1997	12	47.408	6.6525	3.8157	34.165	85.002
14	12	1997	13	32.588	5.8	3.2986	34.67	54.388
15	12	1997	6	35.633	7.3367	3.3	27.238	66.273
16	12	1997	10	49.994	11.53	3.2729	84.33	110.117
17	12	1997	9	35.432	9.4833	1.8714	30.14	55.46
18	12	1997	9	44.781	10.8825	2.9071	46.348	92.12
19	12	1997	11	45.595	11.85	3.5743	39.985	102.803
20	12	1997	8	41.559	10.565	3.58	44.217	72.948
21	12	1997	17	37.005	6.05	3.2033	52.752	69.305
22	12	1997	17	52.238	8.2825	3.9433	45.618	117.145
23	12	1997	8	50.731	9.108	3.8229	50.732	85.687
24	12	1997	9	54.308	7.334	3.4229	153.115	148.45
25	12	1997	11	40.713	5.31	1.56	93.538	55.442
26	12	1997	14	46.513	5.302	2.2143	68.305	84.23
27	12	1997	15	38.002	5.528	2.1571	49.807	63.95
28	12	1997	18	32.869	4.02	1.8914	43.913	53.817
29	12	1997	24	37.888	6.748	2.9	69.402	101.205
30	12	1997	21	52.08	6.775	3.1086	62.876	96.364
31	12	1997	15	40.815	4.7075	2.6617	128.692	102.865
